,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
3408,Tripura,Gomati,Killa,Raiya bari,1308211,solar street light,killa,08-Jun-20,Agro ,Is Part of Rurban Cluster?,23.5690957,91.50489461
3409,Tripura,Gomati,Killa,Raiya bari,1308211,solar street light,killa,08-Jun-20,Agro ,Is Part of Rurban Cluster?,23.57695822,91.50904809
3410,Tripura,Gomati,Killa,Raiya bari,1308211,solar street light,killa,08-Jun-20,Agro ,Is Part of Rurban Cluster?,23.57490067,91.50814016
3411,Tripura,Gomati,Killa,Kalai Tuibaklaai,1308222,North Baramura VC office,Toibaklai Koloi Para Killa,25-Feb-20,Transport/Admin,Panchayat Headquarter,23.652516,91.55967101
3412,Tripura,Gomati,Killa,Maithu Lung,1308229,MAITHULONG BARI  HIGH SCHOOL,Uttar Brajendranagar Tripura ,10-Jan-20,Education ,High School - General,23.64224423,91.5190824
3413,Tripura,Gomati,Killa,Maithu Lung,1308229,street light,Muithulong,05-Jun-20,Agro ,Is Part of Rurban Cluster?,23.64056167,91.52086667
3414,Tripura,Gomati,Killa,Maithu Lung,1308229,Inter village connectivity,Maithulung,27-Feb-20,Agro ,Is Part of Rurban Cluster?,23.64220123,91.52035377
3415,Tripura,Gomati,Killa,Maithu Lung,1308229,Solar street light,Killa,06-Jun-20,Agro ,Is Part of Rurban Cluster?,23.64251333,91.52466167
3416,Tripura,Gomati,Killa,Maithu Lung,1308229,Uttar Brajendranagar VC,Maithu Lung,26-Feb-20,Transport/Admin,Panchayat Headquarter,23.6424518,91.5200587
3417,Tripura,Gomati,Killa,Maithu Lung,1308229,Solar street light,Killa,06-Jun-20,Agro ,Is Part of Rurban Cluster?,23.6427,91.524205
3418,Tripura,Gomati,Amarpur,Sarbong,1308272,SARBONGBARI HIGH SCHOOL,Birganj Sarbong Amarpur Gomati Tripura,18-Feb-20,Education ,High School - General,23.54978486,91.67150231
3419,Tripura,Gomati,Amarpur,Upajati Colony,1308354,GUNGIA VC,Gungia Amarpur Gomati Tripura,20-Feb-20,Transport/Admin,Panchayat Headquarter,23.54949267,91.67564046
3420,Tripura,Gomati,Amarpur,Nabinrai Para,1308411,NABIN ROYBARI HIGH SCHOOL,Nabinroybari Paharpur Amarpur Gomati Tripura,12-Feb-20,Education ,High School - General,23.4792783,91.6999357
3421,Tripura,Gomati,Amarpur,Nabinrai Para,1308411,PAHARPUR MARKET,Paharpur Amarpur Gomati Tripura,20-Feb-20,Agro ,Mandi (Notified),23.48534962,91.7164007
3422,Tripura,Gomati,Amarpur,A.D.C Colony,1308429,LAKRI DUKAN ADC MARKET,ADC Colony  Paschim Duluma Amarpur Gomati Tripura,20-Feb-20,Agro ,Mandi (Notified),23.45530468,91.71522606
3423,Tripura,Gomati,Amarpur,Rabar Colony,1308436,RABAR COLONY GRaM,Rabar Colony Paschim Duluma Amarpur,22-Jun-20,Agro ,Mandi (Notified),23.46950097,91.71119736
3424,Tripura,Gomati,Amarpur,2.5 No. Colony,1308479,CHELLAGANG MUKH BAZAR,Chellagangmukh E Duluma Amarpur Gomati Tripura,20-Feb-20,Agro ,Mandi (Notified),23.45001898,91.72061127
3425,Tripura,Gomati,Amarpur,Subikram Para,1308529,KALAI BAZAR,Sarbong Amarpur Gomati Tripura,20-Feb-20,Agro ,Mandi (Notified),23.55060301,91.67118963
3426,Tripura,Gomati,Amarpur,Subikram Para,1308529,SARBONG VC,Sarbong Amarpur Gomati Tripura,20-Feb-20,Transport/Admin,Panchayat Headquarter,23.5556931,91.67178032
3427,Tripura,Gomati,Amarpur,Sankar Pally,1308540,AMARPUR HS ENGLISH MEDIUM SCHOOL,Sankarpalli School Rd Amarpur Tripura,18-Feb-20,Education ,Higher Secondary School,23.51304457,91.65490486
3428,Tripura,Gomati,Amarpur,Sankar Pally,1308540,Amarpur Sub Divisional Hospital,Amarpur Udaipur Rd Amarpur Tripura,17-Jan-20,Medical ,Bedded Hospital,23.51723198,91.65090815
3429,Tripura,Unakoti,Chandipur,Office Tilla,1339050,Manu Valley Tea Processing Unit,Manu Valley,27-Jun-20,Agro ,Collection Centre or Pack House,24.30897743,91.95832537
3430,Tripura,Unakoti,Chandipur,Bhadrapally,1339052,Samrurpar GP Headquarter,Samrurpar,27-Jan-20,Transport/Admin,Panchayat Headquarter,24.32187127,91.96399805
3431,Tripura,Unakoti,Chandipur,Bhadrapally,1339052,BHADRAPALLI HS SCHOOL,"Murticherra Manu Valley
Unakoti Tripura",24-Dec-19,Education ,Higher Secondary School,24.32432411,91.95481307
3432,Tripura,Unakoti,Chandipur,Bhadrapally,1339052,Bhater Bazar,Bhater bazar,06-May-20,Agro ,Mandi (Notified),24.32248777,91.96210214
3433,Tripura,West Tripura,Belbari,Ram Mohan Pujari,1342077,MONTFORT ENGLISH MEDIUM HS,White cross Belbari Eastern Region Tripura,21-Dec-19,Education ,Higher Secondary School,23.78795591,91.48447776
3434,Tripura,West Tripura,Belbari,Chang Kharu Para,1344447,Tongthok hati,Chengkhuru para,15-May-20,Agro ,Mandi (Notified),23.78602418,91.48388058
3435,Tripura,West Tripura,Belbari,Chang Kharu Para,1344447,Chang khari para,"Near Manfort school, Belbari",23-Jul-20,Agro ,Warehouse,23.78992365,91.48677568
3436,Tripura,West Tripura,Belbari,Devata Para,1346889,Shanti Hati Bazar,Devata Para Belbari West Tripura,15-May-20,Agro ,GRaM (Notified),23.81130144,91.44595741
3437,Tripura,West Tripura,Belbari,Prafulla Sardar Para,1346891,Jirania Khola VC,Prafulla sardar para,15-Feb-20,Transport/Admin,Panchayat Headquarter,23.81231893,91.44599276
3438,Tripura,West Tripura,Belbari,Khakchang Para,1346957,KHUMPUI ACADEMY HS RESIDENTIAL ENGLISH MEDIUM,Khumulwng Tripura,18-Dec-19,Education ,Higher Secondary School,23.7992172,91.4397585
3439,Tripura,West Tripura,Belbari,Nagrai Para,1347006,Kherengbar CHC,Alanga Mohan para,15-Feb-20,Medical ,Community Health Centre,23.79025729,91.44310671
3440,Tripura,Dhalai,Ambassa,Dhanaban Reang Para,269905,Baghmara Village Committee,Monmog Para Baghmara,03-Mar-20,Transport/Admin,Panchayat Headquarter,23.94833015,91.8550688
3441,Tripura,Dhalai,Ambassa,Dhanaban Reang Para,269905,Baghmara Rural Market,Baghmara GP Ambassa Dhalai Tripura,06-Mar-20,Agro ,Mandi (Notified),23.9488879,91.85466477
3442,Tripura,South Tripura,Satchand,D.Debnath Para,294556,Uttar Bhuratali GP Office,Uttar Bhuratali Sabroom South Tripura,29-Feb-20,Transport/Admin,Panchayat Headquarter,23.12805879,91.61850422
3443,Tripura,West Tripura,Mandai,Dinabandhu Para,303197,KALINAGAR HIGH SCHOOL,Laxmipur Kalinagar Briddhanagar Tripura,21-Jan-20,Education ,High School - General,23.85734664,91.36088875
3444,Tripura,South Tripura,Hrishyamukh,Dualior Khil,310851,Solar Street Light,"Joypur, Hrishyamukh, Belonia ,South Tripura",07-Jun-20,Agro ,Is Part of Rurban Cluster?,23.07974833,91.53528
