,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
449,Pondicherry,Karaikal,karaikal,Thirunallar,1389092,Indian  bank,Thirunallar,27-Aug-21,Transport/Admin,Bank,10.92458251,79.78892988
450,Pondicherry,Karaikal,karaikal,Thirunallar,1389092,Commune  Panchayat office,Thirunallar,27-Aug-21,Transport/Admin,Panchayat Headquarter,10.92625737,79.78859425
451,Pondicherry,Karaikal,karaikal,Thirunallar,1389092,Govt Middle school  Neyvatchery,Thirunallar,19-Aug-21,Education ,High School - General,10.92374091,79.79573941
452,Pondicherry,Puducherry,Villianur,Odiampet West,1388396,Bharat Petroleum,"Uthiravaginipet, Odiampet",27-Aug-21,Transport/Admin,Fuel Station,11.90906974,79.76907445
453,Pondicherry,Puducherry,Villianur,Odiampet West,1388396,IDEAL HIGHER SECONDARY SCHOOL,"Viillianour, Odiampet",27-Aug-21,Education ,Higher Secondary School,11.90970092,79.7666296
454,Pondicherry,Puducherry,Villianur,Sellipet,1388410,Government High School,Sellipet,11-Aug-21,Education ,High School - General,11.95707549,79.69607876
455,Pondicherry,Puducherry,Villianur,Sellipet,1388410,Puduvai Bharathiyar Grama Bank,Sellipet,11-Aug-21,Transport/Admin,Bank,11.95462786,79.69262134
456,Pondicherry,Puducherry,Villianur,Sellipet,1388410,veternary hospital,sallipet,11-Aug-21,Medical ,Veterinary Hospital,11.95654291,79.69748668
457,Pondicherry,Puducherry,Villianur,Sellipet,1388410,Indian oil petrol bunk,Sellipet,11-Aug-21,Transport/Admin,Fuel Station,11.95190617,79.69952293
458,Pondicherry,Karaikal,karaikal,Kalikuppam,1388727,Govt  primary school,kalikupam,24-Aug-21,Education ,High School - General,10.97989485,79.84812115
459,Pondicherry,Karaikal,karaikal,Kalikuppam,1388727,Fisher Man Training  centre,kalikuppam,24-Aug-21,Agro ,Collection Centre or Pack House,10.9787028,79.84928179
460,Pondicherry,Karaikal,karaikal,Kalikuppam,1388727,Bus stop,Kali kuppam,24-Aug-21,Transport/Admin,Bus Stand,10.9789656,79.85185429
461,Pondicherry,Karaikal,karaikal,Akkampettai,1388728,Bus stop,Akkampettai,24-Aug-21,Transport/Admin,Bus Stand,10.9701648,79.85241485
462,Pondicherry,Karaikal,karaikal,Akkampettai,1388728,RVS college,Akkampettai,24-Aug-21,Education ,Degree College,10.97708657,79.85191294
463,Pondicherry,Karaikal,karaikal,Nallathur,1388745,Primary  Health center,Nallathur,17-Aug-21,Medical ,Primary Health Centre,10.98881113,79.76492851
464,Pondicherry,Karaikal,karaikal,Nallathur,1388745,AH and AWD. key Unit,Nallathur,17-Aug-21,Medical ,Veterinary Hospital,11.00045617,79.75213424
465,Pondicherry,Karaikal,karaikal,Nallathur,1388745,Bus stop,Nallathur,17-Aug-21,Transport/Admin,Bus Stand,11.0005836,79.75198032
466,Pondicherry,Karaikal,karaikal,Nallathur,1388745,IOC Petrol  bunk,Nallathur,17-Aug-21,Transport/Admin,Fuel Station,11.00013201,79.7529036
467,Pondicherry,Karaikal,karaikal,Nallathur,1388745,govt primary school,Nallathur,12-Aug-21,Education ,High School - General,10.9260719,79.8381016
468,Pondicherry,Karaikal,karaikal,Nallathur,1388745,Petrol  Bunk,Nallathur,17-Aug-21,Transport/Admin,Fuel Station,11.001301,79.7519191
469,Pondicherry,Karaikal,karaikal,Nallathur,1388745,Govt primary  school,Nallathur,17-Aug-21,Education ,High School - General,11.00031476,79.75190913
470,Pondicherry,Karaikal,karaikal,Pandaravadai,1388746,Bus stop,pandaravadai Main Road,17-Aug-21,Transport/Admin,Bus Stand,10.99929634,79.75776215
471,Pondicherry,Karaikal,karaikal,Vadakattalai,1388764,Sub center (Nedungadu  Vadakattalai),vadakattalai  ponpethy,17-Aug-21,Medical ,Primary Health Centre,10.99092115,79.77615692
472,Pondicherry,Karaikal,karaikal,Melaponbethy,1388777,Govt Middle school Ponbethy,Ponbethy,17-Aug-21,Education ,High School - General,10.97327891,79.7772474
473,Pondicherry,Karaikal,karaikal,Keezhaponbethy,1388778,Grama  panchayat  Ponbethy,"Ponbethy  ,Nedungadu",26-Aug-21,Transport/Admin,Panchayat Headquarter,10.97306902,79.7811744
474,Pondicherry,Karaikal,karaikal,Keezhaponbethy,1388778,Bus stop,"Keza ponpethy,  Nedungadu",26-Aug-21,Transport/Admin,Bus Stand,10.97164387,79.77700566
475,Pondicherry,Karaikal,karaikal,Thiruvettakudy,1388720,Govt  High school,Thiruvattakudy,24-Aug-21,Education ,High School - General,10.97841231,79.83630077
476,Pondicherry,Karaikal,karaikal,Thiruvettakudy,1388720,Bus stop,Thiruvettakudy,24-Aug-21,Transport/Admin,Bus Stand,10.982099,79.83642374
477,Pondicherry,Karaikal,karaikal,Thiruvettakudy,1388720,Health sub center,Thiruvettakudy,24-Aug-21,Medical ,Primary Health Centre,10.97819022,79.83749395
478,Pondicherry,Karaikal,karaikal,Vellapillaiyar Koil Street,1388735,Govt Girls High school,kottucherry,17-Aug-21,Education ,High School - Girls,10.96108669,79.82630525
479,Pondicherry,Karaikal,karaikal,Jeeva nagar,1388737,Govt primary  school cbsc,Jeeva nagar,17-Aug-21,Education ,High School - General,10.95877981,79.83175028
480,Pondicherry,Karaikal,karaikal,Kurumbagaram East,1388754,St  Theresa  Aided High school,Kurumbagaram,17-Aug-21,Education ,High School - General,10.98435848,79.76789968
481,Pondicherry,Karaikal,karaikal,Kurumbagaram East,1388754,Govt High  school,Kurumbagaram,17-Aug-21,Education ,High School - General,10.98182096,79.76810047
482,Pondicherry,Karaikal,karaikal,Kurumbagaram East,1388754,Health  sub center,Kurumbagaram,17-Aug-21,Medical ,Primary Health Centre,10.98176489,79.7682132
483,Pondicherry,Karaikal,karaikal,Andoor pet,1388771,Bus stop,Andoor,17-Aug-21,Transport/Admin,Bus Stand,10.99005833,79.78163212
484,Pondicherry,Karaikal,karaikal,Annavasal,1389037,Indian  oil Petrol  Bunk,"Annavasal  ,Nedungadu",26-Aug-21,Transport/Admin,Fuel Station,10.97439857,79.7559616
485,Pondicherry,Karaikal,karaikal,Annavasal,1389037,Pvt  petrol  bunk,Nedungadu,17-Aug-21,Transport/Admin,Fuel Station,10.97416827,79.76656477
